DATE,TMAX,TMIN,PRCP
2010-04-25,297,140,0
2010-04-26,233,108,0
2010-04-27,235,147,0
2010-04-28,232,158,0
2010-04-29,240,127,0
2010-04-30,223,156,0
2010-05-01,264,160,0
2010-05-02,223,108,0
2010-05-03,237,171,169
2010-05-04,218,159,0
2010-05-05,223,154,0
2010-05-06,197,157,0
2010-05-07,256,158,0
2010-05-08,236,138,0
2010-05-09,253,122,0
2010-05-10,255,157,0
2010-05-11,206,160,0
2010-05-12,224,169,0
2010-05-13,246,133,0
2010-05-14,255,154,0
2010-05-15,258,147,0
2010-05-16,286,202,0
2010-05-17,276,163,0
2010-05-18,216,169,0
2010-05-19,293,157,0
2010-05-20,287,143,0
2010-05-21,214,160,0
2010-05-22,294,141,0
2010-05-23,261,177,0
2010-05-24,265,138,0
2010-05-25,261,171,0
2010-05-26,261,181,0
2010-05-27,276,175,0
2010-05-28,262,157,0
2010-05-29,240,159,0
2010-05-30,218,186,0
2010-05-31,249,129,0
2010-06-01,264,168,0
2010-06-02,268,127,0
2010-06-03,231,183,0
2010-06-04,253,159,0
2010-06-05,262,170,0
2010-06-06,257,150,0
2010-06-07,255,170,0
2010-06-08,293,172,0
2010-06-09,304,174,0
2010-06-10,261,170,0
2010-06-11,274,186,0
2010-06-12,239,192,0
2010-06-13,269,178,388
2010-06-14,293,170,0
2010-06-15,277,141,0
2010-06-16,286,166,83
2010-06-17,296,191,0
2010-06-18,278,200,0
2010-06-19,287,194,0
2010-06-20,305,194,0
2010-06-21,274,173,0
2010-06-22,242,125,0
2010-06-23,268,162,0
2010-06-24,262,163,0
2010-06-25,290,148,0
2010-06-26,313,166,0
2010-06-27,248,178,0
2010-06-28,243,202,0
2010-06-29,319,201,0
2010-06-30,288,141,0
2010-07-01,262,117,0
2010-07-02,280,145,0
2010-07-03,231,181,0
2010-07-04,296,138,0
2010-07-05,282,158,0
2010-07-06,249,155,952
2010-07-07,274,180,0
2010-07-08,239,202,0
2010-07-09,266,169,0
2010-07-10,300,182,0
2010-07-11,268,135,0
2010-07-12,221,167,0
2010-07-13,272,195,0
2010-07-14,240,153,0
2010-07-15,227,179,0
2010-07-16,257,148,0
2010-07-17,275,172,0
2010-07-18,221,155,0
2010-07-19,268,184,0
2010-07-20,291,157,0
2010-07-21,274,168,0
2010-07-22,262,163,0
2010-07-23,249,213,0
2010-07-24,254,149,0
2010-07-25,207,160,0
2010-07-26,231,161,0
2010-07-27,313,172,0
2010-07-28,267,138,0
2010-07-29,249,150,0
2010-07-30,235,148,0
2010-07-31,285,177,0
2010-08-01,257,139,0
2010-08-02,226,159,0
2010-08-03,272,150,0
2010-08-04,219,129,0
2010-08-05,254,163,0
2010-08-06,257,159,0
2010-08-07,275,148,0
2010-08-08,242,161,0
2010-08-09,238,125,0
2010-08-10,284,129,0
2010-08-11,213,104,0
2010-08-12,208,135,0
2010-08-13,247,135,0
2010-08-14,226,172,0
2010-08-15,237,150,0
2010-08-16,221,94,0
2010-08-17,228,138,283
2010-08-18,229,151,0
2010-08-19,282,127,0
2010-08-20,329,111,0
2010-08-21,233,140,0
2010-08-22,197,138,0
2010-08-23,246,156,0
2010-08-24,220,131,0
2010-08-25,211,156,0
2010-08-26,210,156,0
2010-08-27,271,115,0
2010-08-28,206,131,0
2010-08-29,250,122,0
2010-08-30,261,122,0
2010-08-31,209,130,0
2010-09-01,223,94,0
2010-09-02,230,145,0
2010-09-03,184,131,0
2010-09-04,252,114,0
2010-09-05,235,139,0
2010-09-06,281,151,0
2010-09-07,203,117,0
2010-09-08,174,114,0
2010-09-09,206,150,0
2010-09-10,213,137,0
2010-09-11,236,99,0
2010-09-12,222,97,0
2010-09-13,158,132,0
2010-09-14,215,92,0
2010-09-15,127,67,0
2010-09-16,223,124,0
2010-09-17,173,95,0
2010-09-18,195,113,0
2010-09-19,184,94,0
2010-09-20,239,108,0
2010-09-21,207,80,0
2010-09-22,227,46,0
2010-09-23,225,101,0
2010-09-24,229,65,0
2010-09-25,166,90,0
2010-09-26,161,108,0
2010-09-27,126,101,0
2010-09-28,177,63,0
2010-09-29,218,57,0
2010-09-30,171,117,0
2010-10-01,191,82,499
2010-10-02,261,52,0
2010-10-03,173,88,0
2010-10-04,202,67,0
2010-10-05,188,78,0
2010-10-06,174,99,379
2010-10-07,139,65,41
2010-10-08,202,58,1220
2010-10-09,194,94,147
2010-10-10,221,78,0
2010-10-11,168,64,0
2010-10-12,155,96,0
2010-10-13,156,79,0
2010-10-14,179,90,0
2010-10-15,173,96,0
2010-10-16,190,68,0
2010-10-17,157,55,0
2010-10-18,151,37,466
2010-10-19,112,67,802
2010-10-20,147,53,0
2010-10-21,137,43,0
2010-10-22,137,31,0
2010-10-23,191,45,0
2010-10-24,130,70,0
2010-10-25,177,69,0
2010-10-26,165,68,0
2010-10-27,188,54,0
2010-10-28,166,43,0
2010-10-29,111,60,0
2010-10-30,149,63,0
2010-10-31,195,94,0
2010-11-01,142,-2,0
2010-11-02,160,34,0
2010-11-03,182,54,0
2010-11-04,133,24,0
2010-11-05,176,7,133
2010-11-06,200,55,0
2010-11-07,163,41,868
2010-11-08,165,38,0
2010-11-09,185,84,0
2010-11-10,134,46,0
2010-11-11,163,62,0
2010-11-12,142,-4,0
2010-11-13,143,32,0
2010-11-14,166,56,0
2010-11-15,148,41,0
2010-11-16,84,59,0
2010-11-17,172,59,0
2010-11-18,164,38,0
2010-11-19,144,49,0
2010-11-20,104,47,0
2010-11-21,134,36,0
2010-11-22,138,48,0
2010-11-23,176,52,122
2010-11-24,152,24,1154
2010-11-25,186,37,70
2010-11-26,136,48,0
2010-11-27,140,36,0
2010-11-28,137,52,27
2010-11-29,133,10,0
2010-11-30,91,39,0
2010-12-01,157,49,0
2010-12-02,175,43,0
2010-12-03,105,30,0
2010-12-04,159,41,0
2010-12-05,121,11,0
2010-12-06,141,36,0
2010-12-07,150,38,0
2010-12-08,110,26,0
2010-12-09,104,27,0
2010-12-10,163,49,0
2010-12-11,106,3,0
2010-12-12,137,52,207
2010-12-13,106,36,278
2010-12-14,118,14,1282
2010-12-15,173,46,51
2010-12-16,127,-6,0
2010-12-17,103,17,0
2010-12-18,147,43,0
2010-12-19,130,-10,0
2010-12-20,163,25,0
2010-12-21,115,24,0
2010-12-22,132,39,0
2010-12-23,102,55,0
2010-12-24,147,-6,0
2010-12-25,145,5,0
2010-12-26,187,38,0
2010-12-27,129,43,0
2010-12-28,122,48,1020
2010-12-29,108,23,501
2010-12-30,172,37,272
2010-12-31,118,47,0
2011-01-01,137,6,27
2011-01-02,151,55,0
2011-01-03,127,61,0
2011-01-04,114,38,0
2011-01-05,153,47,567
2011-01-06,96,36,251
2011-01-07,131,32,0
2011-01-08,137,44,199
2011-01-09,176,36,239
2011-01-10,126,12,0
2011-01-11,138,28,0
2011-01-12,140,37,0
2011-01-13,157,16,0
2011-01-14,130,16,11
2011-01-15,117,69,0
2011-01-16,165,-2,931
2011-01-17,140,65,0
2011-01-18,122,49,0
2011-01-19,132,50,0
2011-01-20,162,56,0
2011-01-21,117,67,0
2011-01-22,148,28,110
2011-01-23,108,22,0
2011-01-24,162,73,0
2011-01-25,144,9,0
2011-01-26,173,32,0
2011-01-27,109,16,0
2011-01-28,151,51,0
2011-01-29,140,61,354
2011-01-30,137,67,891
2011-01-31,192,66,0
2011-02-01,126,33,0
2011-02-02,108,37,0
2011-02-03,107,62,0
2011-02-04,139,72,32
2011-02-05,195,78,0
2011-02-06,146,30,142
2011-02-07,129,62,0
2011-02-08,168,71,263
2011-02-09,138,78,0
2011-02-10,151,51,567
2011-02-11,149,89,0
2011-02-12,201,36,0
2011-02-13,147,54,0
2011-02-14,198,54,0
2011-02-15,113,35,0
2011-02-16,131,87,0
2011-02-17,141,30,0
2011-02-18,152,42,0
2011-02-19,144,74,0
2011-02-20,174,79,0
2011-02-21,150,69,40
2011-02-22,175,61,0
2011-02-23,196,34,205
2011-02-24,172,60,0
2011-02-25,197,104,0
2011-02-26,178,62,0
2011-02-27,142,90,294
2011-02-28,166,108,0
2011-03-01,155,73,0
2011-03-02,131,85,0
2011-03-03,247,60,0
2011-03-04,175,99,0
2011-03-05,226,73,0
2011-03-06,194,94,0
2011-03-07,206,65,935
2011-03-08,197,71,0
2011-03-09,178,129,288
2011-03-10,204,82,0
2011-03-11,185,92,349
2011-03-12,196,153,0
2011-03-13,247,99,0
2011-03-14,166,63,169
2011-03-15,211,66,611
2011-03-16,192,95,148
2011-03-17,211,73,0
2011-03-18,184,95,179
2011-03-19,223,104,0
2011-03-20,187,101,0
2011-03-21,196,98,0
2011-03-22,202,112,0
2011-03-23,188,93,0
2011-03-24,198,96,0
2011-03-25,233,115,0
2011-03-26,238,104,0
2011-03-27,172,113,0
2011-03-28,208,112,0
2011-03-29,187,137,0
2011-03-30,216,78,0
2011-03-31,242,119,0
2011-04-01,233,144,0
2011-04-02,202,88,0
2011-04-03,255,129,0
2011-04-04,215,122,0
2011-04-05,274,130,0
2011-04-06,250,117,0
2011-04-07,221,107,0
2011-04-08,231,82,0
2011-04-09,239,136,0
2011-04-10,221,81,0
2011-04-11,254,121,0
2011-04-12,253,115,0
2011-04-13,226,119,0
2011-04-14,242,106,0
2011-04-15,261,143,0
2011-04-16,209,118,0
2011-04-17,227,136,0
2011-04-18,179,189,0
2011-04-19,294,127,0
2011-04-20,219,120,0
2011-04-21,209,91,0
2011-04-22,203,115,35
2011-04-23,242,119,0
2011-04-24,208,127,0
2011-04-25,263,134,0
2011-04-26,213,130,0
2011-04-27,230,129,0
2011-04-28,240,119,0
2011-04-29,226,138,0
2011-04-30,165,167,0
2011-05-01,271,134,0
2011-05-02,263,129,0
2011-05-03,237,150,0
2011-05-04,260,134,0
2011-05-05,278,159,0
2011-05-06,273,124,0
2011-05-07,222,124,0
2011-05-08,264,161,0
2011-05-09,254,148,0
2011-05-10,222,180,0
2011-05-11,246,148,0
2011-05-12,294,155,0
2011-05-13,261,118,0
2011-05-14,291,151,0
2011-05-15,247,140,0
2011-05-16,264,129,0
2011-05-17,284,154,0
2011-05-18,271,162,0
2011-05-19,271,175,0
2011-05-20,226,199,0
2011-05-21,271,148,0
2011-05-22,249,158,0
2011-05-23,233,157,0
2011-05-24,276,158,0
2011-05-25,257,136,0
2011-05-26,220,149,23
2011-05-27,243,144,0
2011-05-28,267,144,0
2011-05-29,230,165,0
2011-05-30,293,159,0
2011-05-31,257,150,0
2011-06-01,291,174,0
2011-06-02,276,193,0
2011-06-03,259,135,0
2011-06-04,280,166,0
2011-06-05,247,161,0
2011-06-06,266,183,0
2011-06-07,262,187,0
2011-06-08,269,208,0
2011-06-09,253,192,0
2011-06-10,271,146,0
2011-06-11,248,169,1452
2011-06-12,204,168,0
2011-06-13,265,175,0
2011-06-14,297,150,0
2011-06-15,223,161,0
2011-06-16,300,148,0
2011-06-17,253,185,0
2011-06-18,281,194,0
2011-06-19,227,169,0
2011-06-20,308,168,0
2011-06-21,295,167,0
2011-06-22,239,210,0
2011-06-23,279,193,0
2011-06-24,283,173,0
2011-06-25,243,173,0
2011-06-26,247,168,0
2011-06-27,309,222,0
2011-06-28,262,187,0
2011-06-29,231,163,0
2011-06-30,279,151,0
2011-07-01,302,165,0
2011-07-02,263,138,322
2011-07-03,311,161,0
2011-07-04,233,153,0
2011-07-05,285,192,0
2011-07-06,275,158,0
2011-07-07,327,177,0
2011-07-08,288,169,0
2011-07-09,257,147,0
2011-07-10,311,147,0
2011-07-11,278,170,0
2011-07-12,248,191,0
2011-07-13,259,176,0
2011-07-14,251,180,0
2011-07-15,257,136,0
2011-07-16,251,155,0
2011-07-17,246,158,0
2011-07-18,256,178,0
2011-07-19,256,145,0
2011-07-20,302,147,0
2011-07-21,287,181,0
2011-07-22,306,155,0
2011-07-23,266,144,0
2011-07-24,253,141,0
2011-07-25,257,181,0
2011-07-26,201,146,0
2011-07-27,279,177,0
2011-07-28,257,185,0
2011-07-29,250,150,0
2011-07-30,252,145,0
2011-07-31,285,154,0
2011-08-01,204,179,0
2011-08-02,235,154,0
2011-08-03,235,177,0
2011-08-04,278,164,0
2011-08-05,240,103,0
2011-08-06,272,185,0
2011-08-07,323,115,0
2011-08-08,188,148,0
2011-08-09,292,128,420
2011-08-10,301,181,0
2011-08-11,275,142,0
2011-08-12,288,128,0
2011-08-13,246,151,0
2011-08-14,223,145,0
2011-08-15,236,105,0
2011-08-16,240,127,0
2011-08-17,276,116,0
2011-08-18,269,153,0
2011-08-19,250,150,0
2011-08-20,234,150,0
2011-08-21,254,129,0
2011-08-22,269,135,0
2011-08-23,244,136,0
2011-08-24,206,144,0
2011-08-25,224,113,0
2011-08-26,247,120,0
2011-08-27,230,138,0
2011-08-28,226,99,0
2011-08-29,198,118,0
2011-08-30,215,112,0
2011-08-31,225,82,0
2011-09-01,185,132,0
2011-09-02,213,118,0
2011-09-03,187,119,0
2011-09-04,204,140,0
2011-09-05,226,143,0
2011-09-06,171,114,0
2011-09-07,187,113,310
2011-09-08,228,84,0
2011-09-09,229,82,0
2011-09-10,233,117,0
2011-09-11,269,108,0
2011-09-12,215,107,0
2011-09-13,213,74,0
2011-09-14,191,90,0
2011-09-15,168,133,0
2011-09-16,177,126,0
2011-09-17,168,96,0
2011-09-18,215,124,0
2011-09-19,198,87,11
2011-09-20,188,128,0
2011-09-21,153,91,0
2011-09-22,186,110,0
2011-09-23,194,86,0
2011-09-24,157,111,0
2011-09-25,210,95,0
2011-09-26,225,98,0
2011-09-27,230,101,0
2011-09-28,192,104,0
2011-09-29,216,97,0
2011-09-30,204,58,0
2011-10-01,156,69,0
2011-10-02,181,96,0
2011-10-03,188,101,1483
2011-10-04,223,52,0
2011-10-05,155,92,0
2011-10-06,215,70,0
2011-10-07,168,98,236
2011-10-08,179,55,0
2011-10-09,165,107,0
2011-10-10,203,63,0
2011-10-11,162,71,114
2011-10-12,139,38,0
2011-10-13,206,90,156
2011-10-14,156,47,0
2011-10-15,186,102,0
2011-10-16,143,61,0
2011-10-17,137,112,1384
2011-10-18,179,65,0
2011-10-19,147,68,0
2011-10-20,181,108,0
2011-10-21,168,45,0
2011-10-22,151,75,0
2011-10-23,150,62,0
2011-10-24,114,68,0
2011-10-25,142,75,0
2011-10-26,161,70,1365
2011-10-27,135,48,200
2011-10-28,122,83,0
2011-10-29,135,31,862
2011-10-30,190,49,0
2011-10-31,176,85,637
2011-11-01,98,57,0
2011-11-02,147,47,938
2011-11-03,186,41,0
2011-11-04,110,71,614
2011-11-05,179,51,0
2011-11-06,122,29,0
2011-11-07,119,51,401
2011-11-08,178,49,1897
2011-11-09,192,50,0
2011-11-10,165,5,51
2011-11-11,155,56,0
2011-11-12,152,30,0
2011-11-13,126,58,0
2011-11-14,161,42,0
2011-11-15,163,18,0
2011-11-16,142,33,0
2011-11-17,133,39,94
2011-11-18,114,40,0
2011-11-19,94,24,376
2011-11-20,156,43,0
2011-11-21,160,24,39
2011-11-22,186,19,0
2011-11-23,194,47,0
2011-11-24,169,30,0
2011-11-25,130,17,89
2011-11-26,139,74,0
2011-11-27,153,24,0
2011-11-28,182,81,0
2011-11-29,67,34,287
2011-11-30,146,19,0
2011-12-01,158,28,0
2011-12-02,153,36,0
2011-12-03,109,34,0
2011-12-04,98,45,0
2011-12-05,162,46,0
2011-12-06,130,24,622
2011-12-07,104,7,0
2011-12-08,133,33,0
2011-12-09,119,43,104
2011-12-10,101,39,0
2011-12-11,154,34,456
2011-12-12,120,48,245
2011-12-13,177,52,0
2011-12-14,163,27,240
2011-12-15,144,43,0
2011-12-16,155,38,0
2011-12-17,120,31,142
2011-12-18,106,11,57
2011-12-19,109,76,0
2011-12-20,97,5,0
2011-12-21,107,62,0
2011-12-22,143,28,0
2011-12-23,146,26,0
2011-12-24,194,19,594
2011-12-25,98,32,236
2011-12-26,141,12,415
2011-12-27,104,17,0
2011-12-28,72,15,0
2011-12-29,124,10,590
2011-12-30,150,-1,0
2011-12-31,96,31,537
2012-01-01,122,-3,2339
2012-01-02,107,34,0
2012-01-03,166,17,0
2012-01-04,138,14,0
2012-01-05,98,26,733
2012-01-06,120,17,0
2012-01-07,202,49,0
2012-01-08,100,54,0
2012-01-09,131,35,357
2012-01-10,102,32,0
2012-01-11,112,42,0
2012-01-12,111,23,0
2012-01-13,148,37,0
2012-01-14,149,34,0
2012-01-15,151,50,0
2012-01-16,145,60,0
2012-01-17,102,50,0
2012-01-18,125,73,946
2012-01-19,117,15,2064
2012-01-20,140,52,410
2012-01-21,158,37,0
2012-01-22,155,67,0
2012-01-23,176,47,448
2012-01-24,113,63,698
2012-01-25,146,36,1028
2012-01-26,152,60,0
2012-01-27,141,84,0
2012-01-28,124,25,0
2012-01-29,126,37,0
2012-01-30,113,22,0
2012-01-31,138,74,72
2012-02-01,164,60,591
2012-02-02,123,48,242
2012-02-03,164,76,0
2012-02-04,85,-17,0
2012-02-05,138,53,0
2012-02-06,145,55,0
2012-02-07,167,54,0
2012-02-08,183,49,0
2012-02-09,145,37,0
2012-02-10,146,57,716
2012-02-11,152,73,0
2012-02-12,172,78,0
2012-02-13,162,34,61
2012-02-14,168,24,0
2012-02-15,165,56,0
2012-02-16,90,45,886
2012-02-17,164,47,0
2012-02-18,142,70,0
2012-02-19,91,89,0
2012-02-20,170,103,0
2012-02-21,144,93,0
2012-02-22,176,78,116
2012-02-23,191,76,387
2012-02-24,153,99,156
2012-02-25,218,27,0
2012-02-26,226,102,0
2012-02-27,242,44,0
2012-02-28,210,104,621
2012-02-29,196,47,0
2012-03-01,145,79,267
2012-03-02,145,87,0
2012-03-03,205,93,1377
2012-03-04,139,117,0
2012-03-05,225,83,0
2012-03-06,180,61,0
2012-03-07,179,90,0
2012-03-08,191,106,156
2012-03-09,198,71,0
2012-03-10,162,79,0
2012-03-11,186,83,766
2012-03-12,178,93,0
2012-03-13,191,92,0
2012-03-14,204,122,525
2012-03-15,225,133,532
2012-03-16,195,114,0
2012-03-17,209,114,0
2012-03-18,192,84,0
2012-03-19,198,98,0
2012-03-20,212,111,0
2012-03-21,240,103,0
2012-03-22,229,101,37
2012-03-23,174,125,188
2012-03-24,215,97,0
2012-03-25,206,95,0
2012-03-26,226,126,525
2012-03-27,171,120,0
2012-03-28,225,126,0
2012-03-29,218,104,698
2012-03-30,191,101,0
2012-03-31,208,123,44
2012-04-01,182,105,0
2012-04-02,222,85,0
2012-04-03,205,102,0
2012-04-04,176,116,0
2012-04-05,269,133,0
2012-04-06,208,121,0
2012-04-07,196,108,0
2012-04-08,281,119,0
2012-04-09,244,104,0
2012-04-10,207,94,0
2012-04-11,226,122,0
2012-04-12,226,133,0
2012-04-13,235,105,0
2012-04-14,203,129,0
2012-04-15,257,143,0
2012-04-16,228,148,0
2012-04-17,246,167,0
2012-04-18,206,151,0
2012-04-19,231,128,0
2012-04-20,230,97,45
2012-04-21,211,145,0
2012-04-22,223,168,0
2012-04-23,267,160,0
2012-04-24,272,182,0
2012-04-25,249,109,0
2012-04-26,272,167,0
2012-04-27,275,120,823
2012-04-28,242,151,0
2012-04-29,236,141,0
2012-04-30,227,164,0
2012-05-01,233,158,0
2012-05-02,211,133,0
2012-05-03,241,148,0
2012-05-04,250,172,0
2012-05-05,284,187,0
2012-05-06,198,136,0
2012-05-07,232,160,0
2012-05-08,249,137,0
2012-05-09,232,170,0
2012-05-10,273,186,0
2012-05-11,264,152,0
2012-05-12,246,193,0
2012-05-13,253,155,0
2012-05-14,237,150,0
2012-05-15,225,164,0
2012-05-16,261,145,0
2012-05-17,260,144,264
2012-05-18,262,178,0
2012-05-19,304,126,535
2012-05-20,284,135,0
2012-05-21,243,159,0
2012-05-22,341,187,0
2012-05-23,309,187,0
2012-05-24,224,159,0
2012-05-25,274,162,0
2012-05-26,295,192,0
2012-05-27,240,156,0
2012-05-28,267,180,0
2012-05-29,278,136,0
2012-05-30,258,180,0
2012-05-31,279,199,0
2012-06-01,275,177,0
2012-06-02,241,181,0
2012-06-03,273,184,0
2012-06-04,278,176,0
2012-06-05,286,140,904
2012-06-06,263,176,0
2012-06-07,250,187,0
2012-06-08,264,230,259
2012-06-09,229,179,0
2012-06-10,225,178,0
2012-06-11,316,172,0
2012-06-12,301,197,0
2012-06-13,245,149,0
2012-06-14,267,206,33
2012-06-15,292,157,0
2012-06-16,309,149,0
2012-06-17,297,176,0
2012-06-18,228,153,0
2012-06-19,307,176,0
2012-06-20,274,183,0
2012-06-21,275,166,0
2012-06-22,270,187,0
2012-06-23,261,168,0
2012-06-24,281,180,0
2012-06-25,235,165,0
2012-06-26,290,112,0
2012-06-27,250,189,0
2012-06-28,294,157,0
2012-06-29,278,185,0
2012-06-30,303,148,2386
2012-07-01,227,162,0
2012-07-02,280,167,0
2012-07-03,263,205,0
2012-07-04,346,191,0
2012-07-05,293,138,0
2012-07-06,293,134,0
2012-07-07,229,147,0
2012-07-08,272,164,0
2012-07-09,296,158,0
2012-07-10,294,221,0
2012-07-11,244,166,0
2012-07-12,280,173,0
2012-07-13,263,164,0
2012-07-14,268,174,0
2012-07-15,305,144,0
2012-07-16,296,166,0
2012-07-17,270,124,0
2012-07-18,285,157,0
2012-07-19,252,167,0
2012-07-20,270,169,0
2012-07-21,276,111,0
2012-07-22,289,206,0
2012-07-23,298,143,0
2012-07-24,245,151,0
2012-07-25,252,147,0
2012-07-26,314,141,0
2012-07-27,320,154,461
2012-07-28,313,130,0
2012-07-29,200,135,0
2012-07-30,253,139,0
2012-07-31,278,189,0
2012-08-01,243,124,0
2012-08-02,233,156,0
2012-08-03,268,157,0
2012-08-04,274,150,0
2012-08-05,300,141,0
2012-08-06,225,165,0
2012-08-07,197,152,0
2012-08-08,240,135,0
2012-08-09,257,131,0
2012-08-10,253,142,0
2012-08-11,214,166,0
2012-08-12,251,137,0
2012-08-13,219,126,1427
2012-08-14,267,176,0
2012-08-15,253,147,0
2012-08-16,225,108,0
2012-08-17,235,153,0
2012-08-18,267,144,0
2012-08-19,249,151,0
2012-08-20,224,162,0
2012-08-21,235,137,0
2012-08-22,229,140,0
2012-08-23,222,150,0
2012-08-24,224,122,0
2012-08-25,249,167,0
2012-08-26,209,133,0
2012-08-27,229,142,0
2012-08-28,226,96,0
2012-08-29,207,145,0
2012-08-30,196,109,0
2012-08-31,233,103,0
2012-09-01,240,104,0
2012-09-02,210,121,0
2012-09-03,212,95,0
2012-09-04,229,89,0
2012-09-05,247,139,0
2012-09-06,282,110,0
2012-09-07,232,129,0
2012-09-08,134,140,0
2012-09-09,221,98,0
2012-09-10,218,106,0
2012-09-11,191,120,0
2012-09-12,159,118,0
2012-09-13,185,90,0
2012-09-14,193,111,0
2012-09-15,207,57,0
2012-09-16,192,99,0
2012-09-17,179,98,0
2012-09-18,179,116,0
2012-09-19,219,103,0
2012-09-20,168,79,1102
2012-09-21,188,110,0
2012-09-22,243,75,850
2012-09-23,188,110,0
2012-09-24,190,85,0
2012-09-25,237,133,0
2012-09-26,200,77,0
2012-09-27,180,80,0
2012-09-28,207,59,0
2012-09-29,219,60,0
2012-09-30,198,101,0
2012-10-01,217,114,0
2012-10-02,200,86,0
2012-10-03,193,70,0
2012-10-04,216,66,867
2012-10-05,145,79,16
2012-10-06,156,99,1022
2012-10-07,158,68,1124
2012-10-08,177,46,244
2012-10-09,193,98,0
2012-10-10,197,52,0
2012-10-11,170,94,758
2012-10-12,173,70,0
2012-10-13,151,50,145
2012-10-14,177,54,0
2012-10-15,153,53,0
2012-10-16,157,80,0
2012-10-17,146,34,0
2012-10-18,190,80,0
2012-10-19,178,49,0
2012-10-20,148,53,33
2012-10-21,199,61,0
2012-10-22,159,93,0
2012-10-23,157,72,0
2012-10-24,196,39,0
2012-10-25,129,42,0
2012-10-26,151,29,0
2012-10-27,155,78,0
2012-10-28,194,63,0
2012-10-29,170,85,382
2012-10-30,166,12,0
2012-10-31,105,51,0
2012-11-01,164,43,68
2012-11-02,149,88,0
2012-11-03,166,78,0
2012-11-04,170,60,0
2012-11-05,133,82,0
2012-11-06,147,65,0
2012-11-07,98,55,0
2012-11-08,156,44,0
2012-11-09,95,46,0
2012-11-10,143,51,0
2012-11-11,155,54,0
2012-11-12,94,25,0
2012-11-13,127,72,0
2012-11-14,107,44,503
2012-11-15,161,42,0
2012-11-16,162,70,0
2012-11-17,141,32,0
2012-11-18,123,24,0
2012-11-19,134,43,233
2012-11-20,160,40,0
2012-11-21,152,66,0
2012-11-22,138,68,0
2012-11-23,154,51,0
2012-11-24,159,69,172
2012-11-25,131,9,0
2012-11-26,198,-7,0
2012-11-27,154,24,1479
2012-11-28,157,24,649
2012-11-29,162,58,0
2012-11-30,145,50,0
2012-12-01,183,43,383
2012-12-02,210,52,0
2012-12-03,130,29,0
2012-12-04,111,42,0
2012-12-05,118,34,0
2012-12-06,117,19,0
